SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 1:25 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -1.577288E-5,    -1.715496E-4
8.566250E+6,    -8.285046E-6,    -1.598075E-4
8.572500E+6,    -1.442432E-5,    -1.559183E-4
8.578750E+6,    -9.022653E-6,    -1.266748E-4
8.585000E+6,    1.099706E-5,    -1.475736E-4
8.591250E+6,    2.332032E-6,    -1.671612E-4
8.597500E+6,    -2.498925E-5,    -1.832768E-4
8.603750E+6,    5.319715E-6,    -1.612008E-4
8.610000E+6,    -1.277775E-5,    -1.499206E-4
8.616250E+6,    9.678304E-6,    -1.728609E-4
8.622500E+6,    -2.601743E-5,    -1.498833E-4
8.628750E+6,    -2.138317E-6,    -1.574308E-4
8.635000E+6,    -1.005083E-5,    -1.437366E-4
8.641250E+6,    -1.534820E-5,    -1.574233E-4
8.647500E+6,    -2.152473E-5,    -1.535714E-4
8.653750E+6,    3.717840E-6,    -1.534671E-4
8.660000E+6,    -3.360212E-6,    -1.574010E-4
8.666250E+6,    -6.780028E-6,    -1.555979E-4
8.672500E+6,    7.480383E-6,    -1.653582E-4
8.678750E+6,    -7.539988E-6,    -1.555756E-4
8.685000E+6,    -1.068413E-5,    -1.787394E-4
8.691250E+6,    -1.491606E-5,    -1.592636E-4
8.697500E+6,    2.808869E-6,    -1.633540E-4
8.703750E+6,    -1.461804E-5,    -1.514927E-4
8.710000E+6,    -1.223385E-5,    -1.534969E-4
8.716250E+6,    -1.171231E-5,    -1.709163E-4
8.722500E+6,    -3.737211E-5,    -1.705438E-4
8.728750E+6,    -1.826882E-5,    -1.668707E-4
8.735000E+6,    -2.479553E-5,    -1.628846E-4
8.741250E+6,    -3.509223E-5,    -1.898110E-4
8.747500E+6,    -1.612306E-5,    -1.861826E-4
8.753750E+6,    -2.737343E-5,    -1.529381E-4
8.760000E+6,    -2.077967E-5,    -1.743659E-4
8.766250E+6,    -2.177060E-5,    -1.743808E-4
8.772500E+6,    -1.382828E-5,    -1.805276E-4
8.778750E+6,    -1.272559E-5,    -1.726598E-4
8.785000E+6,    -2.145767E-5,    -1.663789E-4
