SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 1:52 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -3.299117E-5,    -1.680329E-4
8.566250E+6,    -7.227063E-7,    -1.539588E-4
8.572500E+6,    -2.595037E-5,    -1.804382E-4
8.578750E+6,    2.612919E-5,    -1.744255E-4
8.585000E+6,    -3.236532E-5,    -1.712814E-4
8.591250E+6,    -4.597008E-6,    -1.634806E-4
8.597500E+6,    -1.086295E-5,    -1.669601E-4
8.603750E+6,    -1.323968E-5,    -1.637414E-4
8.610000E+6,    -3.103912E-5,    -1.613051E-4
8.616250E+6,    1.067668E-5,    -1.783893E-4
8.622500E+6,    -5.200505E-6,    -1.507476E-4
8.628750E+6,    4.366040E-6,    -1.692101E-4
8.635000E+6,    -1.005828E-5,    -1.726747E-4
8.641250E+6,    1.810491E-5,    -1.812503E-4
8.647500E+6,    -1.215935E-5,    -1.696572E-4
8.653750E+6,    -1.022220E-5,    -2.041459E-4
8.660000E+6,    -2.409518E-5,    -1.635775E-4
8.666250E+6,    3.740191E-6,    -1.568198E-4
8.672500E+6,    -1.344085E-5,    -1.853183E-4
8.678750E+6,    -9.328127E-6,    -1.790524E-4
8.685000E+6,    -1.104176E-5,    -1.915544E-4
8.691250E+6,    -2.257526E-6,    -1.788512E-4
8.697500E+6,    -2.026558E-5,    -1.601055E-4
8.703750E+6,    -1.256913E-5,    -1.756176E-4
8.710000E+6,    1.497567E-6,    -1.569316E-4
8.716250E+6,    -1.166016E-5,    -1.631081E-4
8.722500E+6,    5.006790E-6,    -1.662225E-4
8.728750E+6,    -9.506941E-6,    -1.850352E-4
8.735000E+6,    -1.750141E-5,    -1.693964E-4
8.741250E+6,    -1.457334E-5,    -1.757741E-4
8.747500E+6,    1.145154E-5,    -1.663417E-4
8.753750E+6,    -2.043694E-5,    -1.974255E-4
8.760000E+6,    -8.076429E-6,    -1.755357E-4
8.766250E+6,    -2.422184E-5,    -2.067760E-4
8.772500E+6,    -1.213700E-5,    -1.849011E-4
8.778750E+6,    -9.432435E-6,    -1.755804E-4
8.785000E+6,    -2.037734E-5,    -1.688823E-4
8.791250E+6,    2.264977E-6,    -1.851693E-4
