SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 1:21 PM

STIMULUS, RESPONSE

8.560000E+6,  1.610890E-4
8.566250E+6,  1.688898E-4
8.572500E+6,  1.611039E-4
8.578750E+6,  1.391098E-4
8.585000E+6,  1.713112E-4
8.591250E+6,  1.363456E-4
8.597500E+6,  1.391470E-4
8.603750E+6,  1.615584E-4
8.610000E+6,  1.576915E-4
8.616250E+6,  1.368970E-4
8.622500E+6,  1.659095E-4
8.628750E+6,  1.588315E-4
8.635000E+6,  1.684055E-4
8.641250E+6,  1.612008E-4
8.647500E+6,  1.463741E-4
8.653750E+6,  1.444668E-4
8.660000E+6,  1.762509E-4
8.666250E+6,  1.590028E-4
8.672500E+6,  1.561940E-4
8.678750E+6,  1.462549E-4
8.685000E+6,  1.485422E-4
8.691250E+6,  1.544431E-4
8.697500E+6,  1.577884E-4
8.703750E+6,  1.444891E-4
8.710000E+6,  1.514181E-4
8.716250E+6,  1.687631E-4
8.722500E+6,  1.664758E-4
8.728750E+6,  1.742393E-4
8.735000E+6,  1.613647E-4
8.741250E+6,  1.737624E-4
8.747500E+6,  1.387745E-4
8.753750E+6,  1.415163E-4
8.760000E+6,  1.736209E-4
8.766250E+6,  1.635700E-4
8.772500E+6,  1.840666E-4
8.778750E+6,  1.688302E-4
8.785000E+6,  1.784265E-4
8.791250E+6,  1.645386E-4
8.797500E+6,  1.437441E-4
8.803750E+6,  1.467913E-4
8.810000E+6,  1.736507E-4
8.816250E+6,  1.715049E-4
8.822500E+6,  1.642704E-4
8.828750E+6,  1.811758E-4
8.835000E+6,  1.637861E-4
8.841250E+6,  1.787618E-4
8.847500E+6,  1.589730E-4
8.853750E+6,  1.812354E-4
8.860000E+6,  1.599491E-4
8.866250E+6,  1.809523E-4
8.872500E+6,  1.786351E-4
8.878750E+6,  1.760200E-4
8.885000E+6,  1.761317E-4
8.891250E+6,  1.742095E-4
8.897500E+6,  1.787171E-4
8.903750E+6,  1.538619E-4
8.910000E+6,  1.737475E-4
8.916250E+6,  1.934767E-4
8.922500E+6,  1.787469E-4
8.928750E+6,  1.810938E-4
8.935000E+6,  1.743883E-4
