SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 1:52 PM

STIMULUS, RESPONSE

8.560000E+6,  1.477897E-4
8.566250E+6,  1.626536E-4
8.572500E+6,  1.529306E-4
8.578750E+6,  1.671314E-4
8.585000E+6,  1.675114E-4
8.591250E+6,  1.635477E-4
8.597500E+6,  1.787245E-4
8.603750E+6,  1.574531E-4
8.610000E+6,  1.699552E-4
8.616250E+6,  1.768619E-4
8.622500E+6,  1.545474E-4
8.628750E+6,  1.886934E-4
8.635000E+6,  1.894310E-4
8.641250E+6,  1.766756E-4
8.647500E+6,  1.801625E-4
8.653750E+6,  1.616180E-4
8.660000E+6,  1.731291E-4
8.666250E+6,  1.928657E-4
8.672500E+6,  1.607537E-4
8.678750E+6,  1.862422E-4
8.685000E+6,  1.632869E-4
8.691250E+6,  1.807511E-4
8.697500E+6,  1.666695E-4
8.703750E+6,  1.807958E-4
8.710000E+6,  1.700521E-4
8.716250E+6,  1.718923E-4
8.722500E+6,  1.765937E-4
8.728750E+6,  1.758263E-4
8.735000E+6,  1.741424E-4
8.741250E+6,  1.873448E-4
8.747500E+6,  1.719221E-4
8.753750E+6,  1.685098E-4
8.760000E+6,  1.719445E-4
8.766250E+6,  1.739785E-4
8.772500E+6,  1.740158E-4
8.778750E+6,  1.819208E-4
8.785000E+6,  1.685172E-4
8.791250E+6,  1.775473E-4
8.797500E+6,  1.852214E-4
8.803750E+6,  1.768470E-4
8.810000E+6,  1.809523E-4
8.816250E+6,  1.684353E-4
8.822500E+6,  1.771152E-4
8.828750E+6,  1.857877E-4
8.835000E+6,  1.736954E-4
8.841250E+6,  1.913533E-4
8.847500E+6,  1.788363E-4
8.853750E+6,  1.735911E-4
8.860000E+6,  1.831129E-4
8.866250E+6,  1.938865E-4
8.872500E+6,  1.787841E-4
8.878750E+6,  1.973510E-4
8.885000E+6,  1.922548E-4
8.891250E+6,  1.686439E-4
8.897500E+6,  1.939386E-4
8.903750E+6,  1.942068E-4
8.910000E+6,  1.822710E-4
8.916250E+6,  2.026707E-4
8.922500E+6,  1.772940E-4
8.928750E+6,  1.803264E-4
8.935000E+6,  1.977012E-4
8.941250E+6,  1.941547E-4
8.947500E+6,  1.910627E-4
8.953750E+6,  1.922622E-4
8.960000E+6,  1.970306E-4
8.966250E+6,  2.045408E-4
8.972500E+6,  1.701862E-4
8.978750E+6,  1.830608E-4
8.985000E+6,  1.940951E-4
8.991250E+6,  1.907796E-4
8.997500E+6,  1.891926E-4
9.003750E+6,  1.995042E-4
9.010000E+6,  1.754761E-4
9.016250E+6,  2.114177E-4
9.022500E+6,  1.872927E-4
9.028750E+6,  1.908019E-4
9.035000E+6,  1.753718E-4
9.041250E+6,  2.044067E-4
9.047500E+6,  1.995787E-4
9.053750E+6,  1.862571E-4
9.060000E+6,  1.921654E-4
9.066250E+6,  1.974180E-4
9.072500E+6,  2.035722E-4
9.078750E+6,  1.975447E-4
9.085000E+6,  1.996979E-4
9.091250E+6,  2.033934E-4
9.097500E+6,  2.011210E-4
9.103750E+6,  2.054796E-4
9.110000E+6,  2.118945E-4
9.116250E+6,  1.925826E-4
9.122500E+6,  2.012998E-4
9.128750E+6,  1.996905E-4
9.135000E+6,  2.092570E-4
9.141250E+6,  2.096444E-4
9.147500E+6,  1.882315E-4
9.153750E+6,  1.917407E-4
9.160000E+6,  1.999214E-4
9.166250E+6,  2.055615E-4
9.172500E+6,  2.010912E-4
9.178750E+6,  2.162680E-4
9.185000E+6,  2.055019E-4
9.191250E+6,  2.068132E-4
9.197500E+6,  2.000034E-4
9.203750E+6,  1.936257E-4
9.210000E+6,  2.163649E-4
9.216250E+6,  2.136976E-4
9.222500E+6,  1.952946E-4
9.228750E+6,  2.149940E-4
9.235000E+6,  2.114326E-4
9.241250E+6,  2.082288E-4
9.247500E+6,  2.198219E-4
9.253750E+6,  2.399534E-4
9.260000E+6,  2.129078E-4
9.266250E+6,  2.218634E-4
9.272500E+6,  2.016649E-4
9.278750E+6,  2.128854E-4
9.285000E+6,  2.133325E-4
9.291250E+6,  2.256185E-4
9.297500E+6,  2.152771E-4
9.303750E+6,  2.210513E-4
9.310000E+6,  2.200902E-4
9.316250E+6,  2.120286E-4
9.322500E+6,  2.157167E-4
9.328750E+6,  2.071336E-4
9.335000E+6,  2.035573E-4
9.341250E+6,  2.360418E-4
9.347500E+6,  2.124012E-4
9.353750E+6,  2.200454E-4
9.360000E+6,  2.155602E-4
9.366250E+6,  2.189502E-4
9.372500E+6,  2.340600E-4
9.378750E+6,  2.341121E-4
9.385000E+6,  2.184957E-4
9.391250E+6,  2.147108E-4
9.397500E+6,  2.395883E-4
9.403750E+6,  2.387762E-4
9.410000E+6,  2.373978E-4
9.416250E+6,  2.340376E-4
9.422500E+6,  2.132580E-4
9.428750E+6,  2.508163E-4
9.435000E+6,  2.246276E-4
9.441250E+6,  2.397373E-4
9.447500E+6,  2.433360E-4
9.453750E+6,  2.410561E-4
9.460000E+6,  2.397373E-4
9.466250E+6,  2.473742E-4
9.472500E+6,  2.299547E-4
9.478750E+6,  2.430677E-4
9.485000E+6,  2.432019E-4
9.491250E+6,  2.376959E-4
9.497500E+6,  2.456009E-4
9.503750E+6,  2.438724E-4
9.510000E+6,  2.363175E-4
9.516250E+6,  2.202615E-4
9.522500E+6,  2.582520E-4
9.528750E+6,  2.581626E-4
9.535000E+6,  2.364591E-4
9.541250E+6,  2.346709E-4
9.547500E+6,  2.326220E-4
9.553750E+6,  2.538413E-4
9.560000E+6,  2.472848E-4
9.566250E+6,  2.406836E-4
9.572500E+6,  2.401844E-4
9.578750E+6,  2.380535E-4
9.585000E+6,  2.120882E-4
9.591250E+6,  2.413765E-4
9.597500E+6,  2.388656E-4
9.603750E+6,  2.578646E-4
9.610000E+6,  2.504587E-4
9.616250E+6,  2.579242E-4
9.622500E+6,  2.597570E-4
9.628750E+6,  2.591610E-4
9.635000E+6,  2.267063E-4
9.641250E+6,  2.553463E-4
9.647500E+6,  2.438203E-4
9.653750E+6,  2.546608E-4
9.660000E+6,  2.532452E-4
9.666250E+6,  2.451837E-4
9.672500E+6,  2.443790E-4
9.678750E+6,  2.820343E-4
9.685000E+6,  2.506375E-4
9.691250E+6,  2.550036E-4
9.697500E+6,  2.541393E-4
9.703750E+6,  2.717227E-4
9.710000E+6,  2.565533E-4
9.716250E+6,  2.437159E-4
9.722500E+6,  2.576709E-4
9.728750E+6,  2.505630E-4
9.735000E+6,  2.588630E-4
9.741250E+6,  2.832264E-4
9.747500E+6,  2.543032E-4
9.753750E+6,  2.580881E-4
9.760000E+6,  2.582073E-4
9.766250E+6,  2.532303E-4
9.772500E+6,  2.472401E-4
