SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:02 PM

STIMULUS, RESPONSE

8.560000E+6,  1.299456E-4
8.566250E+6,  1.252294E-4
8.572500E+6,  1.209378E-4
8.578750E+6,  1.472980E-4
8.585000E+6,  1.395866E-4
8.591250E+6,  1.317561E-4
8.597500E+6,  1.232326E-4
8.603750E+6,  1.529828E-4
8.610000E+6,  1.299605E-4
8.616250E+6,  1.550689E-4
8.622500E+6,  1.158118E-4
8.628750E+6,  1.572892E-4
8.635000E+6,  1.240894E-4
8.641250E+6,  1.374856E-4
8.647500E+6,  1.209378E-4
8.653750E+6,  1.299381E-4
8.660000E+6,  1.315475E-4
8.666250E+6,  1.540631E-4
8.672500E+6,  1.241490E-4
8.678750E+6,  1.288801E-4
8.685000E+6,  1.174137E-4
8.691250E+6,  1.537576E-4
8.697500E+6,  1.359731E-4
8.703750E+6,  1.602098E-4
8.710000E+6,  1.419559E-4
8.716250E+6,  1.275688E-4
8.722500E+6,  1.412109E-4
8.728750E+6,  1.445189E-4
8.735000E+6,  1.474917E-4
8.741250E+6,  1.542121E-4
8.747500E+6,  1.329333E-4
8.753750E+6,  1.431704E-4
8.760000E+6,  1.419783E-4
8.766250E+6,  1.607090E-4
8.772500E+6,  1.497790E-4
8.778750E+6,  1.410320E-4
8.785000E+6,  1.308545E-4
8.791250E+6,  1.485869E-4
8.797500E+6,  1.329482E-4
8.803750E+6,  1.395568E-4
8.810000E+6,  1.601279E-4
8.816250E+6,  1.541674E-4
8.822500E+6,  1.522899E-4
8.828750E+6,  1.552328E-4
8.835000E+6,  1.509264E-4
8.841250E+6,  1.630038E-4
8.847500E+6,  1.264364E-4
8.853750E+6,  1.563951E-4
8.860000E+6,  1.523271E-4
8.866250E+6,  1.661181E-4
8.872500E+6,  1.443252E-4
8.878750E+6,  1.462102E-4
8.885000E+6,  1.361668E-4
8.891250E+6,  1.341850E-4
8.897500E+6,  1.485571E-4
8.903750E+6,  1.332536E-4
8.910000E+6,  1.366287E-4
8.916250E+6,  1.694560E-4
8.922500E+6,  1.396686E-4
8.928750E+6,  1.432002E-4
8.935000E+6,  1.464933E-4
8.941250E+6,  1.553744E-4
8.947500E+6,  1.486242E-4
8.953750E+6,  1.366287E-4
8.960000E+6,  1.538247E-4
8.966250E+6,  1.475438E-4
8.972500E+6,  1.653954E-4
8.978750E+6,  1.497343E-4
8.985000E+6,  1.552105E-4
8.991250E+6,  1.539737E-4
8.997500E+6,  1.496747E-4
9.003750E+6,  1.227185E-4
9.010000E+6,  1.552403E-4
9.016250E+6,  1.459867E-4
9.022500E+6,  1.538023E-4
9.028750E+6,  1.696348E-4
9.035000E+6,  1.485869E-4
9.041250E+6,  1.366287E-4
9.047500E+6,  1.576841E-4
9.053750E+6,  1.732558E-4
9.060000E+6,  1.666844E-4
9.066250E+6,  1.444742E-4
9.072500E+6,  1.666993E-4
9.078750E+6,  1.664311E-4
9.085000E+6,  1.398847E-4
9.091250E+6,  1.586974E-4
9.097500E+6,  1.584589E-4
9.103750E+6,  1.505688E-4
9.110000E+6,  1.350418E-4
9.116250E+6,  1.498610E-4
9.122500E+6,  1.584515E-4
9.128750E+6,  1.866296E-4
9.135000E+6,  1.524314E-4
9.141250E+6,  1.760498E-4
9.147500E+6,  1.486912E-4
9.153750E+6,  1.603663E-4
9.160000E+6,  1.540929E-4
9.166250E+6,  1.837462E-4
9.172500E+6,  1.383796E-4
9.178750E+6,  1.727492E-4
9.185000E+6,  1.546592E-4
9.191250E+6,  1.404285E-4
9.197500E+6,  1.509711E-4
9.203750E+6,  1.666173E-4
9.210000E+6,  1.718253E-4
9.216250E+6,  1.746342E-4
9.222500E+6,  1.633614E-4
9.228750E+6,  1.822710E-4
9.235000E+6,  1.404285E-4
9.241250E+6,  1.521856E-4
9.247500E+6,  1.603812E-4
9.253750E+6,  1.369193E-4
9.260000E+6,  1.543239E-4
9.266250E+6,  1.762658E-4
9.272500E+6,  1.478717E-4
9.278750E+6,  1.827776E-4
9.285000E+6,  1.828074E-4
9.291250E+6,  1.780167E-4
9.297500E+6,  1.635700E-4
9.303750E+6,  1.485124E-4
9.310000E+6,  1.543015E-4
9.316250E+6,  1.780465E-4
9.322500E+6,  1.746789E-4
9.328750E+6,  1.640841E-4
9.335000E+6,  1.747534E-4
9.341250E+6,  1.640245E-4
9.347500E+6,  1.669675E-4
9.353750E+6,  1.546293E-4
9.360000E+6,  1.704842E-4
9.366250E+6,  1.720563E-4
9.372500E+6,  1.811087E-4
9.378750E+6,  1.732409E-4
9.385000E+6,  1.669005E-4
9.391250E+6,  1.527667E-4
9.397500E+6,  1.467094E-4
9.403750E+6,  1.812726E-4
9.410000E+6,  1.641661E-4
9.416250E+6,  1.781806E-4
9.422500E+6,  1.811981E-4
9.428750E+6,  1.680776E-4
9.435000E+6,  1.512691E-4
9.441250E+6,  1.720265E-4
9.447500E+6,  1.906306E-4
9.453750E+6,  1.748875E-4
9.460000E+6,  1.609698E-4
9.466250E+6,  1.732484E-4
9.472500E+6,  2.001822E-4
9.478750E+6,  1.994073E-4
9.485000E+6,  1.938045E-4
9.491250E+6,  1.740605E-4
9.497500E+6,  1.934543E-4
9.503750E+6,  1.984760E-4
9.510000E+6,  1.661852E-4
9.516250E+6,  1.779050E-4
9.522500E+6,  1.671985E-4
9.528750E+6,  1.564845E-4
9.535000E+6,  1.978129E-4
9.541250E+6,  2.021641E-4
9.547500E+6,  1.801625E-4
9.553750E+6,  1.783744E-4
9.560000E+6,  1.719743E-4
9.566250E+6,  1.803115E-4
9.572500E+6,  1.972690E-4
9.578750E+6,  1.585856E-4
9.585000E+6,  1.682416E-4
9.591250E+6,  1.820475E-4
9.597500E+6,  1.880005E-4
9.603750E+6,  1.898929E-4
9.610000E+6,  1.839250E-4
9.616250E+6,  1.627728E-4
9.622500E+6,  1.899227E-4
9.628750E+6,  1.864880E-4
9.635000E+6,  1.820326E-4
9.641250E+6,  1.941696E-4
9.647500E+6,  1.719594E-4
9.653750E+6,  1.780242E-4
9.660000E+6,  1.719519E-4
9.666250E+6,  1.939535E-4
