SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 2:55 PM

STIMULUS, RESPONSE

8.560000E+6,  1.416877E-4
8.566250E+6,  1.617894E-4
8.572500E+6,  1.520589E-4
8.578750E+6,  1.487136E-4
8.585000E+6,  1.802593E-4
8.591250E+6,  1.611933E-4
8.597500E+6,  1.718253E-4
8.603750E+6,  1.555085E-4
8.610000E+6,  1.738593E-4
8.616250E+6,  1.513883E-4
8.622500E+6,  1.555011E-4
8.628750E+6,  1.472235E-4
8.635000E+6,  1.511425E-4
8.641250E+6,  1.612902E-4
8.647500E+6,  1.582652E-4
8.653750E+6,  1.650676E-4
8.660000E+6,  1.722276E-4
8.666250E+6,  1.683980E-4
8.672500E+6,  1.611337E-4
8.678750E+6,  1.684725E-4
8.685000E+6,  1.566485E-4
8.691250E+6,  1.860112E-4
8.697500E+6,  1.542047E-4
8.703750E+6,  1.833960E-4
8.710000E+6,  1.584291E-4
8.716250E+6,  1.649559E-4
8.722500E+6,  1.844317E-4
8.728750E+6,  1.789629E-4
8.735000E+6,  1.618341E-4
8.741250E+6,  1.723990E-4
8.747500E+6,  1.695156E-4
8.753750E+6,  1.653433E-4
8.760000E+6,  1.905188E-4
8.766250E+6,  1.722649E-4
8.772500E+6,  1.612231E-4
8.778750E+6,  1.939014E-4
8.785000E+6,  1.787916E-4
8.791250E+6,  1.706854E-4
8.797500E+6,  1.861081E-4
8.803750E+6,  1.858398E-4
8.810000E+6,  1.671687E-4
8.816250E+6,  1.905039E-4
8.822500E+6,  1.895204E-4
8.828750E+6,  1.964569E-4
8.835000E+6,  1.863241E-4
8.841250E+6,  1.967102E-4
8.847500E+6,  1.753122E-4
8.853750E+6,  1.929402E-4
8.860000E+6,  1.824573E-4
8.866250E+6,  1.860633E-4
8.872500E+6,  1.506135E-4
8.878750E+6,  1.833811E-4
8.885000E+6,  1.823157E-4
8.891250E+6,  1.822710E-4
8.897500E+6,  1.799390E-4
8.903750E+6,  2.018586E-4
8.910000E+6,  1.904815E-4
8.916250E+6,  2.008528E-4
8.922500E+6,  1.898333E-4
8.928750E+6,  2.008379E-4
8.935000E+6,  1.811385E-4
8.941250E+6,  1.980439E-4
8.947500E+6,  1.832768E-4
8.953750E+6,  1.965836E-4
8.960000E+6,  2.084970E-4
8.966250E+6,  1.887679E-4
8.972500E+6,  1.745671E-4
8.978750E+6,  1.822859E-4
8.985000E+6,  1.785606E-4
8.991250E+6,  2.125874E-4
8.997500E+6,  2.121925E-4
9.003750E+6,  1.880601E-4
9.010000E+6,  1.964048E-4
9.016250E+6,  1.646057E-4
9.022500E+6,  1.759082E-4
9.028750E+6,  1.988262E-4
9.035000E+6,  1.731664E-4
9.041250E+6,  1.898482E-4
9.047500E+6,  2.216622E-4
9.053750E+6,  2.320260E-4
9.060000E+6,  1.810193E-4
9.066250E+6,  1.931116E-4
