SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 1:09 PM

STIMULUS, RESPONSE

8.560000E+6,  1.422241E-4
8.566250E+6,  1.346394E-4
8.572500E+6,  1.368225E-4
8.578750E+6,  1.339838E-4
8.585000E+6,  1.578629E-4
8.591250E+6,  1.303926E-4
8.597500E+6,  1.697689E-4
8.603750E+6,  1.414269E-4
8.610000E+6,  1.556352E-4
8.616250E+6,  1.438037E-4
8.622500E+6,  1.443774E-4
8.628750E+6,  1.413077E-4
8.635000E+6,  1.618341E-4
8.641250E+6,  1.510829E-4
8.647500E+6,  1.543686E-4
8.653750E+6,  1.556277E-4
8.660000E+6,  1.510456E-4
8.666250E+6,  1.697764E-4
8.672500E+6,  1.521856E-4
8.678750E+6,  1.415014E-4
8.685000E+6,  1.486316E-4
8.691250E+6,  1.478493E-4
8.697500E+6,  1.381040E-4
8.703750E+6,  1.609847E-4
8.710000E+6,  1.612678E-4
8.716250E+6,  1.556873E-4
8.722500E+6,  1.460016E-4
8.728750E+6,  1.577213E-4
8.735000E+6,  1.445711E-4
8.741250E+6,  1.518354E-4
8.747500E+6,  1.438558E-4
8.753750E+6,  1.661405E-4
8.760000E+6,  1.598299E-4
8.766250E+6,  1.719296E-4
8.772500E+6,  1.545474E-4
8.778750E+6,  1.697242E-4
8.785000E+6,  1.664460E-4
8.791250E+6,  1.664162E-4
8.797500E+6,  1.654550E-4
8.803750E+6,  1.439378E-4
8.810000E+6,  1.512691E-4
8.816250E+6,  1.736134E-4
8.822500E+6,  1.516715E-4
8.828750E+6,  1.590401E-4
8.835000E+6,  1.487136E-4
8.841250E+6,  1.665503E-4
8.847500E+6,  1.491681E-4
8.853750E+6,  1.676381E-4
8.860000E+6,  1.587421E-4
8.866250E+6,  1.516119E-4
8.872500E+6,  1.513809E-4
8.878750E+6,  1.599267E-4
8.885000E+6,  1.663491E-4
8.891250E+6,  1.774654E-4
8.897500E+6,  1.464486E-4
8.903750E+6,  1.613274E-4
8.910000E+6,  1.613870E-4
8.916250E+6,  1.917034E-4
8.922500E+6,  1.473725E-4
8.928750E+6,  1.862273E-4
8.935000E+6,  1.540482E-4
8.941250E+6,  1.738667E-4
8.947500E+6,  1.601428E-4
8.953750E+6,  1.662448E-4
8.960000E+6,  1.835898E-4
8.966250E+6,  1.814887E-4
8.972500E+6,  1.564547E-4
8.978750E+6,  1.698136E-4
8.985000E+6,  1.737028E-4
8.991250E+6,  1.563877E-4
8.997500E+6,  1.589507E-4
9.003750E+6,  1.785681E-4
9.010000E+6,  1.464561E-4
9.016250E+6,  1.810715E-4
9.022500E+6,  1.862720E-4
9.028750E+6,  1.788884E-4
9.035000E+6,  1.814663E-4
9.041250E+6,  1.587868E-4
9.047500E+6,  1.664609E-4
9.053750E+6,  1.713037E-4
9.060000E+6,  1.665950E-4
9.066250E+6,  1.742393E-4
9.072500E+6,  1.662597E-4
9.078750E+6,  1.896843E-4
9.085000E+6,  1.765788E-4
9.091250E+6,  1.839399E-4
9.097500E+6,  1.673251E-4
9.103750E+6,  1.915023E-4
9.110000E+6,  2.014488E-4
9.116250E+6,  1.816973E-4
9.122500E+6,  1.812726E-4
9.128750E+6,  1.699030E-4
9.135000E+6,  1.757741E-4
9.141250E+6,  1.871511E-4
9.147500E+6,  1.637936E-4
9.153750E+6,  1.987293E-4
9.160000E+6,  1.989156E-4
9.166250E+6,  1.985133E-4
9.172500E+6,  1.673326E-4
9.178750E+6,  1.790524E-4
9.185000E+6,  1.865849E-4
9.191250E+6,  1.645610E-4
9.197500E+6,  1.739115E-4
9.203750E+6,  1.985654E-4
