SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:30 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -1.960993E-5,    -1.523569E-4
8.566250E+6,    -1.557916E-5,    -1.716763E-4
8.572500E+6,    -2.804399E-5,    -1.641214E-4
8.578750E+6,    -2.503395E-6,    -1.556054E-4
8.585000E+6,    -2.276152E-5,    -1.680255E-4
8.591250E+6,    -1.084059E-5,    -1.751408E-4
8.597500E+6,    -2.107769E-5,    -1.773983E-4
8.603750E+6,    -8.329749E-6,    -1.691878E-4
8.610000E+6,    -2.358854E-5,    -1.597479E-4
8.616250E+6,    -1.662970E-5,    -1.558661E-4
8.622500E+6,    8.985400E-6,    -1.474246E-4
8.628750E+6,    9.134412E-6,    -1.727790E-4
8.635000E+6,    -8.396804E-6,    -1.864061E-4
8.641250E+6,    -2.524257E-5,    -1.925975E-4
8.647500E+6,    -1.262873E-5,    -1.593754E-4
8.653750E+6,    -9.283423E-6,    -1.789108E-4
8.660000E+6,    7.271767E-6,    -1.476929E-4
8.666250E+6,    -8.925796E-6,    -1.711100E-4
8.672500E+6,    -1.990050E-5,    -1.807883E-4
8.678750E+6,    -1.674891E-5,    -2.001971E-4
8.685000E+6,    -1.675636E-5,    -1.748800E-4
8.691250E+6,    -6.452203E-6,    -1.651570E-4
8.697500E+6,    -2.550334E-5,    -1.863390E-4
8.703750E+6,    -2.086163E-7,    -1.614019E-4
8.710000E+6,    5.207956E-6,    -1.655370E-4
8.716250E+6,    -1.390278E-5,    -1.436546E-4
8.722500E+6,    -1.349300E-5,    -1.787394E-4
8.728750E+6,    -8.448958E-6,    -2.080426E-4
8.735000E+6,    -2.019107E-6,    -1.615137E-4
8.741250E+6,    -5.289912E-6,    -1.594573E-4
8.747500E+6,    -2.977252E-5,    -1.935512E-4
8.753750E+6,    -9.872019E-6,    -1.651272E-4
8.760000E+6,    -1.173466E-5,    -1.726523E-4
8.766250E+6,    -1.321733E-5,    -1.804754E-4
8.772500E+6,    -1.244992E-5,    -1.727119E-4
8.778750E+6,    -2.197921E-5,    -1.918226E-4
8.785000E+6,    -3.308058E-5,    -1.581237E-4
8.791250E+6,    -1.035631E-5,    -1.748949E-4
8.797500E+6,    -1.805276E-5,    -1.781434E-4
8.803750E+6,    -1.819432E-5,    -1.958311E-4
8.810000E+6,    -3.457069E-6,    -1.458302E-4
8.816250E+6,    -1.244247E-5,    -1.921952E-4
8.822500E+6,    -1.017004E-5,    -1.769289E-4
8.828750E+6,    -2.165139E-5,    -1.859516E-4
8.835000E+6,    3.173947E-6,    -1.870990E-4
8.841250E+6,    -2.438575E-5,    -1.933128E-4
8.847500E+6,    -1.570582E-5,    -1.646727E-4
8.853750E+6,    -2.600253E-5,    -1.835898E-4
8.860000E+6,    -2.742559E-5,    -1.736283E-4
8.866250E+6,    -2.445281E-5,    -1.853406E-4
8.872500E+6,    -2.300739E-5,    -1.952723E-4
8.878750E+6,    -2.208352E-5,    -1.698658E-4
8.885000E+6,    -2.764165E-5,    -1.832843E-4
8.891250E+6,    -1.485646E-5,    -1.939163E-4
8.897500E+6,    -6.221235E-6,    -2.102330E-4
8.903750E+6,    -9.804964E-6,    -1.807958E-4
8.910000E+6,    -7.525086E-6,    -1.830161E-4
8.916250E+6,    -2.516806E-5,    -2.048463E-4
8.922500E+6,    -1.358986E-5,    -1.784787E-4
8.928750E+6,    -3.539026E-5,    -1.881868E-4
8.935000E+6,    -2.590567E-5,    -1.872107E-4
8.941250E+6,    4.358590E-6,    -1.941770E-4
8.947500E+6,    -2.676994E-5,    -1.872033E-4
8.953750E+6,    -2.449751E-5,    -1.892298E-4
8.960000E+6,    -1.779944E-5,    -1.859367E-4
8.966250E+6,    -2.694130E-5,    -1.968518E-4
8.972500E+6,    -2.846122E-5,    -1.868382E-4
8.978750E+6,    -4.314631E-5,    -1.929104E-4
8.985000E+6,    -1.221895E-5,    -1.827329E-4
8.991250E+6,    -2.102554E-5,    -2.034977E-4
8.997500E+6,    -1.187623E-5,    -1.650527E-4
9.003750E+6,    -2.386421E-5,    -2.107546E-4
9.010000E+6,    -3.858656E-5,    -1.891553E-4
9.016250E+6,    -2.345443E-5,    -1.932606E-4
9.022500E+6,    -2.256036E-5,    -1.757070E-4
9.028750E+6,    -1.806766E-5,    -2.078414E-4
9.035000E+6,    -3.500283E-5,    -1.936629E-4
9.041250E+6,    5.453825E-6,    -2.011135E-4
9.047500E+6,    -2.481043E-5,    -2.029687E-4
9.053750E+6,    -2.694130E-5,    -1.829863E-4
9.060000E+6,    -1.598895E-5,    -2.020821E-4
9.066250E+6,    -3.681332E-5,    -1.933798E-4
9.072500E+6,    -1.899153E-5,    -2.095029E-4
9.078750E+6,    -2.491474E-5,    -2.050027E-4
9.085000E+6,    -3.045797E-5,    -2.100468E-4
9.091250E+6,    -1.996756E-5,    -2.295673E-4
9.097500E+6,    -3.878772E-5,    -2.028644E-4
9.103750E+6,    -1.385063E-5,    -2.165735E-4
9.110000E+6,    -1.490861E-5,    -2.067909E-4
9.116250E+6,    -1.550466E-5,    -1.968071E-4
9.122500E+6,    -3.567338E-5,    -1.973882E-4
9.128750E+6,    -2.825260E-5,    -2.144128E-4
9.135000E+6,    -1.453608E-5,    -1.793355E-4
9.141250E+6,    -3.969669E-5,    -2.046674E-4
9.147500E+6,    -2.515316E-5,    -1.894012E-4
9.153750E+6,    -3.993511E-5,    -2.044886E-4
9.160000E+6,    -3.588200E-5,    -1.994818E-4
9.166250E+6,    -6.631017E-6,    -1.985878E-4
9.172500E+6,    -6.899238E-6,    -1.988634E-4
9.178750E+6,    -3.507733E-5,    -2.113730E-4
9.185000E+6,    -4.491210E-5,    -2.016276E-4
9.191250E+6,    -3.062934E-5,    -1.963675E-4
9.197500E+6,    -2.069771E-5,    -1.965016E-4
9.203750E+6,    -4.351139E-6,    -2.137199E-4
9.210000E+6,    -2.974272E-5,    -1.989231E-4
9.216250E+6,    -2.521276E-5,    -1.937225E-4
9.222500E+6,    -3.558397E-5,    -2.034456E-4
9.228750E+6,    -3.115833E-5,    -1.984984E-4
9.235000E+6,    -4.395843E-5,    -2.258420E-4
9.241250E+6,    -1.406670E-5,    -2.261549E-4
9.247500E+6,    -1.972169E-5,    -2.109930E-4
9.253750E+6,    -2.271682E-5,    -1.985356E-4
9.260000E+6,    -5.058944E-5,    -2.206266E-4
9.266250E+6,    -2.881140E-5,    -2.032816E-4
9.272500E+6,    -3.170967E-5,    -2.107024E-4
9.278750E+6,    -2.981722E-5,    -2.332181E-4
9.285000E+6,    -4.710257E-5,    -2.051592E-4
9.291250E+6,    -3.367662E-5,    -2.206266E-4
9.297500E+6,    -5.169213E-5,    -2.422631E-4
9.303750E+6,    -3.466010E-5,    -2.204776E-4
9.310000E+6,    -5.917251E-5,    -2.045929E-4
9.316250E+6,    -3.558397E-5,    -2.304763E-4
9.322500E+6,    -3.450364E-5,    -2.004281E-4
9.328750E+6,    -4.068017E-5,    -2.152771E-4
9.335000E+6,    -3.324449E-5,    -2.028197E-4
9.341250E+6,    -3.965199E-5,    -2.172589E-4
9.347500E+6,    -1.940131E-5,    -2.086014E-4
9.353750E+6,    -3.328919E-5,    -2.351403E-4
9.360000E+6,    -4.479289E-5,    -2.023280E-4
9.366250E+6,    -3.466010E-5,    -2.350807E-4
9.372500E+6,    -5.675852E-5,    -2.112687E-4
9.378750E+6,    -6.195903E-5,    -2.160668E-4
9.385000E+6,    -3.507733E-5,    -2.148747E-4
9.391250E+6,    -4.890561E-5,    -2.213269E-4
9.397500E+6,    -5.218387E-5,    -2.285391E-4
9.403750E+6,    -5.578995E-5,    -2.360940E-4
9.410000E+6,    -4.610419E-5,    -2.039671E-4
9.416250E+6,    -2.686679E-5,    -2.151579E-4
9.422500E+6,    -2.664328E-5,    -2.378523E-4
9.428750E+6,    -3.099442E-5,    -2.125204E-4
9.435000E+6,    -3.218651E-5,    -2.224743E-4
9.441250E+6,    -3.793836E-5,    -2.267361E-4
9.447500E+6,    -5.945563E-5,    -2.350211E-4
9.453750E+6,    -4.318357E-5,    -2.214015E-4
9.460000E+6,    -3.725290E-5,    -2.293587E-4
9.466250E+6,    -4.091859E-5,    -2.138615E-4
9.472500E+6,    -6.267428E-5,    -2.319515E-4
9.478750E+6,    -5.716085E-5,    -2.173483E-4
9.485000E+6,    -5.039573E-5,    -2.154112E-4
9.491250E+6,    -3.427267E-5,    -2.244115E-4
9.497500E+6,    -5.093217E-5,    -2.152622E-4
9.503750E+6,    -4.100800E-5,    -2.385974E-4
9.510000E+6,    -4.172325E-5,    -2.387464E-4
9.516250E+6,    -6.580353E-5,    -2.437532E-4
9.522500E+6,    -6.335974E-5,    -2.464056E-4
9.528750E+6,    -3.987551E-5,    -2.540052E-4
9.535000E+6,    -4.479289E-5,    -2.260804E-4
9.541250E+6,    -5.027652E-5,    -2.429187E-4
9.547500E+6,    -4.827976E-5,    -2.225637E-4
9.553750E+6,    -5.435944E-5,    -2.272427E-4
9.560000E+6,    -3.758073E-5,    -2.365708E-4
9.566250E+6,    -3.513694E-5,    -2.521574E-4
9.572500E+6,    -3.629923E-5,    -2.518594E-4
9.578750E+6,    -3.761053E-5,    -2.390742E-4
9.585000E+6,    -3.308058E-5,    -2.346933E-4
9.591250E+6,    -3.445148E-5,    -2.217591E-4
9.597500E+6,    -5.871058E-5,    -2.360940E-4
9.603750E+6,    -3.507733E-5,    -2.443194E-4
9.610000E+6,    -4.079938E-5,    -2.385378E-4
9.616250E+6,    -4.640222E-5,    -2.778769E-4
9.622500E+6,    -4.550815E-5,    -2.329946E-4
9.628750E+6,    -4.395843E-5,    -2.356172E-4
9.635000E+6,    -3.033876E-5,    -2.425015E-4
9.641250E+6,    -5.125999E-5,    -2.619326E-4
9.647500E+6,    -4.994869E-5,    -2.521276E-4
9.653750E+6,    -6.517768E-5,    -2.446473E-4
9.660000E+6,    -2.604723E-5,    -2.510548E-4
9.666250E+6,    -4.577637E-5,    -2.603829E-4
9.672500E+6,    -6.103516E-5,    -2.527833E-4
9.678750E+6,    -5.072355E-5,    -2.674162E-4
9.685000E+6,    -3.623962E-5,    -2.393723E-4
9.691250E+6,    -5.170703E-5,    -2.544522E-4
9.697500E+6,    -6.088614E-5,    -2.427697E-4
9.703750E+6,    -4.100800E-5,    -2.714097E-4
9.710000E+6,    -7.331371E-5,    -2.507865E-4
9.716250E+6,    -5.364418E-5,    -2.666414E-4
9.722500E+6,    -5.906820E-5,    -2.480447E-4
9.728750E+6,    -4.953146E-5,    -2.498329E-4
9.735000E+6,    -6.219745E-5,    -2.450347E-4
9.741250E+6,    -4.264712E-5,    -2.611876E-4
9.747500E+6,    -4.339218E-5,    -2.610981E-4
9.753750E+6,    -9.036064E-5,    -2.675354E-4
9.760000E+6,    -5.999207E-5,    -2.505183E-4
9.766250E+6,    -4.342198E-5,    -2.638996E-4
9.772500E+6,    -6.312132E-5,    -2.345145E-4
9.778750E+6,    -5.608797E-5,    -2.716482E-4
9.785000E+6,    -7.045269E-5,    -2.508163E-4
9.791250E+6,    -5.516410E-5,    -2.616644E-4
9.797500E+6,    -5.546212E-5,    -2.742708E-4
9.803750E+6,    -7.727742E-5,    -2.675056E-4
9.810000E+6,    -4.503131E-5,    -2.790093E-4
9.816250E+6,    -5.117059E-5,    -2.701283E-4
9.822500E+6,    -4.547834E-5,    -2.535284E-4
9.828750E+6,    -5.447865E-5,    -2.799928E-4
9.835000E+6,    -5.978346E-5,    -2.733171E-4
9.841250E+6,    -7.507205E-5,    -2.626479E-4
9.847500E+6,    -8.153915E-5,    -2.664030E-4
9.853750E+6,    -4.935265E-5,    -2.656877E-4
9.860000E+6,    -5.885959E-5,    -2.504885E-4
9.866250E+6,    -7.143617E-5,    -2.838969E-4
9.872500E+6,    -5.662441E-5,    -2.821386E-4
9.878750E+6,    -6.529689E-5,    -2.828240E-4
9.885000E+6,    -4.306436E-5,    -2.519190E-4
9.891250E+6,    -7.000566E-5,    -2.639592E-4
9.897500E+6,    -7.468462E-5,    -2.703667E-4
9.903750E+6,    -5.704165E-5,    -2.719164E-4
9.910000E+6,    -8.198619E-5,    -2.865493E-4
9.916250E+6,    -5.540252E-5,    -2.905726E-4
9.922500E+6,    -7.876754E-5,    -2.664924E-4
9.928750E+6,    -4.595518E-5,    -2.674460E-4
9.935000E+6,    -5.230308E-5,    -2.710819E-4
9.941250E+6,    -7.757545E-5,    -2.850890E-4
9.947500E+6,    -7.534027E-5,    -2.754629E-4
9.953750E+6,    -5.596876E-5,    -2.803206E-4
9.960000E+6,    -6.875396E-5,    -2.745986E-4
9.966250E+6,    -5.859137E-5,    -2.928376E-4
9.972500E+6,    -6.815791E-5,    -2.490878E-4
9.978750E+6,    -6.639957E-5,    -2.802908E-4
9.985000E+6,    -6.735325E-5,    -2.799630E-4
9.991250E+6,    -7.355213E-5,    -2.995431E-4
9.997500E+6,    -7.230043E-5,    -2.735853E-4
1.000375E+7,    -6.368756E-5,    -2.891123E-4
1.001000E+7,    -7.018447E-5,    -2.927780E-4
1.001625E+7,    -7.212162E-5,    -2.891123E-4
1.002250E+7,    -5.209446E-5,    -2.973974E-4
1.002875E+7,    -4.816055E-5,    -2.909899E-4
1.003500E+7,    -8.237362E-5,    -2.889037E-4
1.004125E+7,    -7.694960E-5,    -2.854466E-4
1.004750E+7,    -7.003546E-5,    -2.850294E-4
1.005375E+7,    -5.921721E-5,    -2.905428E-4
1.006000E+7,    -8.797646E-5,    -2.980232E-4
1.006625E+7,    -9.316206E-5,    -3.044009E-4
1.007250E+7,    -7.101893E-5,    -3.001690E-4
1.007875E+7,    -5.599856E-5,    -3.154874E-4
1.008500E+7,    -7.116795E-5,    -3.034174E-4
1.009125E+7,    -7.534027E-5,    -2.966523E-4
1.009750E+7,    -9.450316E-5,    -3.064871E-4
1.010375E+7,    -8.547306E-5,    -2.934039E-4
1.011000E+7,    -8.669496E-5,    -3.089309E-4
1.011625E+7,    -7.772446E-5,    -2.803802E-4
1.012250E+7,    -8.690357E-5,    -3.088415E-4
1.012875E+7,    -9.655952E-5,    -2.926588E-4
1.013500E+7,    -1.096427E-4,    -3.147125E-4
1.014125E+7,    -9.453297E-5,    -2.987087E-4
1.014750E+7,    -1.172721E-4,    -3.014207E-4
1.015375E+7,    -9.003282E-5,    -3.107190E-4
1.016000E+7,    -8.988380E-5,    -2.948940E-4
1.016625E+7,    -6.932020E-5,    -3.201962E-4
1.017250E+7,    -1.021624E-4,    -3.038347E-4
1.017875E+7,    -9.733438E-5,    -3.164709E-4
1.018500E+7,    -7.471442E-5,    -2.973378E-4
1.019125E+7,    -8.073449E-5,    -3.194809E-4
1.019750E+7,    -1.018941E-4,    -3.092587E-4
1.020375E+7,    -8.672476E-5,    -3.096163E-4
1.021000E+7,    -8.058548E-5,    -3.062487E-4
1.021625E+7,    -1.048744E-4,    -3.218949E-4
1.022250E+7,    -9.039044E-5,    -3.057420E-4
1.022875E+7,    -9.289384E-5,    -3.340840E-4
1.023500E+7,    -8.675456E-5,    -3.149807E-4
1.024125E+7,    -6.669760E-5,    -3.091991E-4
1.024750E+7,    -7.987022E-5,    -3.148913E-4
1.025375E+7,    -1.033545E-4,    -3.170967E-4
