SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:21 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -8.545816E-6,    -1.409128E-4
8.566250E+6,    1.007318E-5,    -1.787245E-4
8.572500E+6,    -8.970499E-6,    -1.722649E-4
8.578750E+6,    -3.576279E-7,    -1.755282E-4
8.585000E+6,    1.987070E-5,    -1.539290E-4
8.591250E+6,    4.857779E-6,    -1.881048E-4
8.597500E+6,    -2.913177E-6,    -1.723915E-4
8.603750E+6,    -1.243502E-5,    -1.691133E-4
8.610000E+6,    5.908310E-6,    -1.600310E-4
8.616250E+6,    8.061528E-6,    -1.819804E-4
8.622500E+6,    -1.218915E-5,    -1.719669E-4
8.628750E+6,    -9.432435E-6,    -1.941398E-4
8.635000E+6,    9.357929E-6,    -1.695082E-4
8.641250E+6,    -3.527850E-5,    -1.743957E-4
8.647500E+6,    -3.136694E-6,    -1.785085E-4
8.653750E+6,    -2.190471E-5,    -1.715943E-4
8.660000E+6,    -2.352893E-5,    -1.684949E-4
8.666250E+6,    -1.324713E-5,    -1.753196E-4
8.672500E+6,    -7.964671E-6,    -1.532882E-4
8.678750E+6,    -2.654642E-5,    -1.808256E-4
8.685000E+6,    -2.086163E-5,    -1.779124E-4
8.691250E+6,    -2.136081E-5,    -1.778901E-4
8.697500E+6,    -7.420778E-6,    -1.752898E-4
8.703750E+6,    -3.326684E-5,    -1.864880E-4
8.710000E+6,    -9.119511E-6,    -1.910850E-4
8.716250E+6,    -1.735985E-5,    -1.904964E-4
8.722500E+6,    -2.177805E-5,    -1.809001E-4
8.728750E+6,    -7.048249E-6,    -1.627579E-4
8.735000E+6,    -2.043694E-5,    -1.682863E-4
8.741250E+6,    -2.227724E-6,    -1.759827E-4
8.747500E+6,    -1.552701E-5,    -1.623333E-4
8.753750E+6,    -1.990795E-5,    -1.713634E-4
8.760000E+6,    -3.635883E-6,    -1.756400E-4
8.766250E+6,    -2.177060E-5,    -1.870692E-4
8.772500E+6,    -1.460314E-5,    -1.874492E-4
8.778750E+6,    -3.098696E-5,    -1.672730E-4
8.785000E+6,    -2.948940E-5,    -1.892969E-4
8.791250E+6,    -1.738966E-5,    -1.842231E-4
8.797500E+6,    -8.918345E-6,    -1.879483E-4
8.803750E+6,    -1.204759E-5,    -2.005175E-4
8.810000E+6,    -1.072139E-5,    -1.659542E-4
8.816250E+6,    -1.555681E-5,    -1.939982E-4
8.822500E+6,    -1.262128E-5,    -2.004653E-4
8.828750E+6,    -2.823770E-6,    -1.889467E-4
8.835000E+6,    -1.330674E-5,    -1.814663E-4
8.841250E+6,    -1.637638E-5,    -1.747310E-4
8.847500E+6,    -2.127886E-5,    -2.027825E-4
8.853750E+6,    -2.215058E-5,    -2.027452E-4
8.860000E+6,    -3.276765E-5,    -1.951307E-4
8.866250E+6,    -2.007931E-5,    -1.901388E-4
8.872500E+6,    -2.562255E-5,    -1.769140E-4
8.878750E+6,    -1.645833E-5,    -1.809746E-4
8.885000E+6,    -1.844764E-5,    -1.778156E-4
8.891250E+6,    -2.161413E-5,    -1.900271E-4
8.897500E+6,    -2.663583E-5,    -1.769066E-4
8.903750E+6,    -1.480430E-5,    -1.908615E-4
8.910000E+6,    -6.973743E-6,    -1.920611E-4
8.916250E+6,    -1.435727E-5,    -1.941994E-4
8.922500E+6,    -3.142655E-5,    -2.110898E-4
8.928750E+6,    -1.224875E-5,    -2.042800E-4
8.935000E+6,    -2.885610E-5,    -1.987815E-4
8.941250E+6,    -2.300739E-5,    -2.186745E-4
8.947500E+6,    -1.638383E-5,    -2.166480E-4
8.953750E+6,    -2.685189E-5,    -1.862720E-4
8.960000E+6,    -1.738966E-5,    -1.717061E-4
8.966250E+6,    -4.462898E-5,    -2.027154E-4
8.972500E+6,    -2.624094E-5,    -1.927763E-4
8.978750E+6,    -3.449619E-6,    -1.962408E-4
8.985000E+6,    -1.480430E-5,    -1.848787E-4
8.991250E+6,    -1.510233E-5,    -2.074391E-4
8.997500E+6,    -3.471971E-5,    -1.944676E-4
9.003750E+6,    -4.693866E-7,    -1.874268E-4
9.010000E+6,    -2.549589E-5,    -2.023280E-4
9.016250E+6,    -3.322959E-5,    -2.013072E-4
9.022500E+6,    -8.240342E-6,    -1.896545E-4
9.028750E+6,    -2.878904E-5,    -1.958162E-4
9.035000E+6,    -5.364418E-6,    -2.030209E-4
9.041250E+6,    -1.467764E-5,    -2.237856E-4
9.047500E+6,    -3.060699E-5,    -1.954958E-4
9.053750E+6,    -3.082305E-5,    -1.953840E-4
9.060000E+6,    -3.126264E-5,    -1.950786E-4
9.066250E+6,    -1.858175E-5,    -2.168864E-4
9.072500E+6,    -3.576279E-5,    -2.072453E-4
9.078750E+6,    -2.600253E-5,    -2.187490E-4
9.085000E+6,    -1.379848E-5,    -2.117008E-4
9.091250E+6,    -1.615286E-5,    -2.049804E-4
9.097500E+6,    -1.339614E-5,    -1.894757E-4
9.103750E+6,    -5.275011E-5,    -2.070665E-4
9.110000E+6,    -3.203750E-5,    -2.050847E-4
9.116250E+6,    -2.743304E-5,    -2.219230E-4
9.122500E+6,    -2.510101E-5,    -2.064407E-4
9.128750E+6,    -2.718717E-5,    -1.994520E-4
9.135000E+6,    -4.105270E-5,    -2.064705E-4
9.141250E+6,    -3.754348E-5,    -1.944080E-4
9.147500E+6,    -4.357100E-5,    -1.993477E-4
9.153750E+6,    -3.923476E-5,    -2.162904E-4
9.160000E+6,    -3.404915E-5,    -2.112836E-4
9.166250E+6,    -2.907217E-5,    -2.314746E-4
9.172500E+6,    -1.655519E-5,    -1.958683E-4
9.178750E+6,    -2.272427E-5,    -2.332777E-4
9.185000E+6,    -2.545118E-5,    -1.939088E-4
9.191250E+6,    -2.938509E-5,    -2.093464E-4
9.197500E+6,    -4.494190E-5,    -2.057254E-4
9.203750E+6,    -5.343556E-5,    -2.036840E-4
9.210000E+6,    -5.084276E-5,    -2.173781E-4
9.216250E+6,    -3.248453E-5,    -2.055764E-4
9.222500E+6,    -2.580881E-5,    -2.331287E-4
9.228750E+6,    -2.127886E-5,    -2.278239E-4
9.235000E+6,    -2.878904E-5,    -2.261102E-4
9.241250E+6,    -4.500151E-5,    -2.188832E-4
9.247500E+6,    -2.714992E-5,    -2.039373E-4
9.253750E+6,    -2.834946E-5,    -2.003610E-4
9.260000E+6,    -3.273785E-5,    -2.157241E-4
9.266250E+6,    -4.062057E-5,    -2.169013E-4
9.272500E+6,    -4.664063E-5,    -2.254248E-4
9.278750E+6,    -3.638864E-5,    -2.410412E-4
9.285000E+6,    -5.356967E-5,    -2.299994E-4
9.291250E+6,    -5.994737E-5,    -2.348721E-4
9.297500E+6,    -1.908839E-5,    -2.260953E-4
9.303750E+6,    -3.682077E-5,    -2.152324E-4
9.310000E+6,    -3.333390E-5,    -2.325177E-4
9.316250E+6,    -4.003942E-5,    -2.375096E-4
9.322500E+6,    -3.062189E-5,    -2.136678E-4
9.328750E+6,    -4.287064E-5,    -2.301186E-4
9.335000E+6,    -1.013279E-5,    -2.165958E-4
9.341250E+6,    -3.401935E-5,    -2.425015E-4
9.347500E+6,    -3.507733E-5,    -2.389550E-4
9.353750E+6,    -5.121529E-5,    -2.310574E-4
9.360000E+6,    -4.118681E-5,    -2.079010E-4
9.366250E+6,    -3.838539E-5,    -2.284348E-4
9.372500E+6,    -4.012883E-5,    -2.215654E-4
9.378750E+6,    -3.877282E-5,    -2.350509E-4
9.385000E+6,    -4.848838E-5,    -2.223849E-4
9.391250E+6,    -3.880262E-5,    -2.383441E-4
9.397500E+6,    -4.018843E-5,    -2.314895E-4
9.403750E+6,    -1.740456E-5,    -2.425015E-4
9.410000E+6,    -3.498793E-5,    -2.266765E-4
9.416250E+6,    -2.013147E-5,    -2.348870E-4
9.422500E+6,    -4.434586E-5,    -2.206862E-4
9.428750E+6,    -4.974008E-5,    -2.323985E-4
9.435000E+6,    -4.267693E-5,    -2.377927E-4
9.441250E+6,    -3.522635E-5,    -2.402365E-4
9.447500E+6,    -4.947186E-5,    -2.457201E-4
9.453750E+6,    -3.537536E-5,    -2.473891E-4
9.460000E+6,    -5.197525E-5,    -2.351999E-4
9.466250E+6,    -5.295873E-5,    -2.314150E-4
9.472500E+6,    -6.684661E-5,    -2.402067E-4
9.478750E+6,    -4.449487E-5,    -2.477467E-4
9.485000E+6,    -4.476309E-5,    -2.512932E-4
9.491250E+6,    -4.470348E-5,    -2.511442E-4
9.497500E+6,    -4.488230E-5,    -2.579987E-4
9.503750E+6,    -4.881620E-5,    -2.332926E-4
9.510000E+6,    -3.126264E-5,    -2.597570E-4
9.516250E+6,    -6.061792E-5,    -2.560019E-4
9.522500E+6,    -5.632639E-5,    -2.411902E-4
9.528750E+6,    -3.546476E-5,    -2.420843E-4
9.535000E+6,    -2.822280E-5,    -2.414882E-4
9.541250E+6,    -5.632639E-5,    -2.481341E-4
9.547500E+6,    -5.772710E-5,    -2.475381E-4
9.553750E+6,    -7.864833E-5,    -2.568960E-4
9.560000E+6,    -3.921986E-5,    -2.314150E-4
9.566250E+6,    -4.354119E-5,    -2.601445E-4
9.572500E+6,    -5.155802E-5,    -2.502799E-4
9.578750E+6,    -4.664063E-5,    -2.386868E-4
9.585000E+6,    -4.494190E-5,    -2.633333E-4
9.591250E+6,    -4.592538E-5,    -2.596974E-4
9.597500E+6,    -3.266335E-5,    -2.545416E-4
9.603750E+6,    -7.522106E-5,    -2.619028E-4
9.610000E+6,    -5.424023E-5,    -2.600849E-4
9.616250E+6,    -5.540252E-5,    -2.528727E-4
9.622500E+6,    -4.181266E-5,    -2.550185E-4
9.628750E+6,    -7.173419E-5,    -2.467632E-4
9.635000E+6,    -5.719066E-5,    -2.523959E-4
9.641250E+6,    -6.520748E-5,    -2.561212E-4
9.647500E+6,    -3.638864E-5,    -2.610683E-4
9.653750E+6,    -5.814433E-5,    -2.590418E-4
9.660000E+6,    -4.386902E-5,    -2.685189E-4
9.666250E+6,    -4.491210E-5,    -2.649724E-4
9.672500E+6,    -6.076694E-5,    -2.517402E-4
9.678750E+6,    -6.091595E-5,    -2.515614E-4
9.685000E+6,    -6.699562E-5,    -2.731979E-4
9.691250E+6,    -6.052852E-5,    -2.691746E-4
9.697500E+6,    -5.453825E-5,    -2.615154E-4
9.703750E+6,    -4.774332E-5,    -2.646148E-4
9.710000E+6,    -3.504753E-5,    -2.494454E-4
9.716250E+6,    -4.896522E-5,    -2.677441E-4
9.722500E+6,    -3.674626E-5,    -2.491176E-4
9.728750E+6,    -6.410480E-5,    -2.646148E-4
9.735000E+6,    -7.987022E-5,    -2.582967E-4
9.741250E+6,    -5.012751E-5,    -2.815425E-4
9.747500E+6,    -5.215406E-5,    -2.672374E-4
9.753750E+6,    -5.900860E-5,    -2.815723E-4
9.760000E+6,    -8.797646E-5,    -2.861917E-4
9.766250E+6,    -6.780028E-5,    -2.677143E-4
9.772500E+6,    -3.901124E-5,    -2.874732E-4
9.778750E+6,    -5.415082E-5,    -2.846420E-4
9.785000E+6,    -5.477667E-5,    -2.773702E-4
9.791250E+6,    -6.985664E-5,    -2.776086E-4
