SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:32 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -2.188981E-5,    -1.594797E-4
8.566250E+6,    9.462237E-7,    -1.556054E-4
8.572500E+6,    -1.821667E-5,    -1.651272E-4
8.578750E+6,    5.140901E-7,    -1.556128E-4
8.585000E+6,    -5.379319E-6,    -1.597330E-4
8.591250E+6,    -1.653284E-5,    -1.804754E-4
8.597500E+6,    -2.343208E-5,    -1.593530E-4
8.603750E+6,    -1.387298E-5,    -1.733005E-4
8.610000E+6,    -1.630932E-5,    -1.705214E-4
8.616250E+6,    -2.853572E-6,    -1.652315E-4
8.622500E+6,    -1.817197E-5,    -1.800954E-4
8.628750E+6,    -2.653897E-5,    -1.814365E-4
8.635000E+6,    -5.833805E-6,    -1.748726E-4
8.641250E+6,    -2.153218E-6,    -1.933575E-4
8.647500E+6,    -1.437962E-5,    -1.887158E-4
8.653750E+6,    -7.115304E-6,    -1.624152E-4
8.660000E+6,    -1.472980E-5,    -1.885816E-4
8.666250E+6,    -6.265938E-6,    -1.779497E-4
8.672500E+6,    -3.114343E-5,    -1.906529E-4
8.678750E+6,    5.498528E-6,    -1.826659E-4
8.685000E+6,    -2.965331E-6,    -1.708865E-4
8.691250E+6,    2.592802E-6,    -1.924336E-4
8.697500E+6,    -2.107769E-5,    -1.701042E-4
8.703750E+6,    -5.848706E-6,    -1.681745E-4
8.710000E+6,    -6.549060E-6,    -1.682416E-4
8.716250E+6,    -1.125038E-6,    -1.769513E-4
8.722500E+6,    1.425296E-5,    -1.750588E-4
8.728750E+6,    -2.299249E-5,    -1.699775E-4
8.735000E+6,    -3.573298E-5,    -2.026409E-4
8.741250E+6,    -8.806586E-6,    -1.807734E-4
8.747500E+6,    -2.621859E-5,    -1.794174E-4
8.753750E+6,    -1.490116E-8,    -1.954287E-4
8.760000E+6,    -1.333654E-5,    -1.620278E-4
8.766250E+6,    -1.953542E-5,    -1.785457E-4
8.772500E+6,    -2.028793E-5,    -1.784787E-4
8.778750E+6,    -9.253621E-6,    -1.835600E-4
8.785000E+6,    2.287328E-6,    -1.760349E-4
8.791250E+6,    -1.406670E-5,    -1.903400E-4
8.797500E+6,    3.650784E-7,    -2.012104E-4
8.803750E+6,    -1.180917E-5,    -2.088919E-4
8.810000E+6,    -1.034141E-5,    -1.582280E-4
8.816250E+6,    -1.436472E-5,    -1.931190E-4
8.822500E+6,    -1.721829E-5,    -1.745671E-4
8.828750E+6,    -2.383441E-5,    -1.782030E-4
8.835000E+6,    -1.212955E-5,    -1.707599E-4
8.841250E+6,    -7.838011E-6,    -1.924336E-4
8.847500E+6,    -1.152605E-5,    -1.863390E-4
8.853750E+6,    -2.490729E-5,    -1.934990E-4
8.860000E+6,    -2.235174E-5,    -1.838058E-4
8.866250E+6,    -1.788884E-5,    -2.054051E-4
8.872500E+6,    -1.007318E-5,    -1.922101E-4
