SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:18 PM

STIMULUS, REAL, IMAGINARY

8.560000E+6,    -3.004074E-5,    -1.583919E-4
8.566250E+6,    -3.263354E-6,    -1.850724E-4
8.572500E+6,    -1.312047E-5,    -1.623705E-4
8.578750E+6,    -6.370246E-6,    -1.784489E-4
8.585000E+6,    -3.550947E-5,    -1.832843E-4
8.591250E+6,    -7.063150E-6,    -1.783520E-4
8.597500E+6,    -2.068281E-5,    -1.838580E-4
8.603750E+6,    6.072223E-6,    -1.762435E-4
8.610000E+6,    -2.401322E-5,    -1.774058E-4
8.616250E+6,    -1.168996E-5,    -1.530722E-4
8.622500E+6,    -2.197176E-5,    -1.836345E-4
8.628750E+6,    -2.791733E-5,    -1.706704E-4
8.635000E+6,    -2.295524E-5,    -1.835078E-4
8.641250E+6,    -1.044571E-5,    -1.783371E-4
8.647500E+6,    -1.840293E-6,    -1.821667E-4
8.653750E+6,    2.011657E-7,    -1.696944E-4
8.660000E+6,    -2.203137E-5,    -1.710504E-4
8.666250E+6,    -6.347895E-6,    -1.914427E-4
8.672500E+6,    8.642673E-6,    -1.924485E-4
8.678750E+6,    -1.595914E-5,    -1.906008E-4
8.685000E+6,    -8.121133E-6,    -1.722872E-4
8.691250E+6,    -5.468726E-6,    -1.790524E-4
8.697500E+6,    -1.776218E-5,    -1.871511E-4
8.703750E+6,    -5.215406E-8,    -1.952052E-4
8.710000E+6,    -2.533197E-6,    -1.699105E-4
8.716250E+6,    -1.768023E-5,    -1.905113E-4
8.722500E+6,    -7.569790E-6,    -1.789778E-4
8.728750E+6,    8.642673E-7,    -1.830608E-4
8.735000E+6,    -3.770739E-5,    -1.820102E-4
8.741250E+6,    -4.053116E-6,    -1.920387E-4
8.747500E+6,    -2.260506E-5,    -1.835823E-4
8.753750E+6,    -1.463294E-5,    -1.844913E-4
8.760000E+6,    -8.724630E-6,    -1.819432E-4
8.766250E+6,    -2.254546E-5,    -1.867637E-4
8.772500E+6,    -2.492964E-5,    -2.024248E-4
8.778750E+6,    -2.794713E-5,    -1.733378E-4
8.785000E+6,    -1.560897E-5,    -1.874790E-4
8.791250E+6,    -7.405877E-6,    -1.919493E-4
8.797500E+6,    -3.747642E-6,    -1.828894E-4
8.803750E+6,    5.945563E-6,    -1.908168E-4
8.810000E+6,    -2.862513E-5,    -1.986995E-4
8.816250E+6,    -2.802163E-5,    -1.796708E-4
8.822500E+6,    -1.314282E-5,    -2.041385E-4
8.828750E+6,    1.043081E-7,    -1.775175E-4
8.835000E+6,    -3.029406E-5,    -1.984388E-4
8.841250E+6,    -5.431473E-6,    -1.860559E-4
8.847500E+6,    -2.112985E-5,    -1.839027E-4
8.853750E+6,    -9.693205E-6,    -1.763776E-4
8.860000E+6,    -1.444668E-5,    -1.849681E-4
8.866250E+6,    -3.371388E-5,    -1.946092E-4
8.872500E+6,    -3.343076E-5,    -1.976788E-4
8.878750E+6,    -2.916157E-5,    -1.888573E-4
8.885000E+6,    -1.303107E-5,    -1.949891E-4
8.891250E+6,    -1.096725E-5,    -2.049953E-4
8.897500E+6,    -3.614277E-5,    -1.941398E-4
8.903750E+6,    -4.231930E-5,    -1.995414E-4
8.910000E+6,    -1.255423E-5,    -2.015755E-4
8.916250E+6,    -3.121793E-5,    -1.886711E-4
8.922500E+6,    -1.546741E-5,    -1.947731E-4
8.928750E+6,    -1.651049E-5,    -1.947209E-4
8.935000E+6,    -2.464652E-5,    -1.933426E-4
8.941250E+6,    -2.279878E-5,    -2.002493E-4
8.947500E+6,    -9.603798E-6,    -1.962557E-4
8.953750E+6,    -1.087040E-5,    -2.183467E-4
8.960000E+6,    -1.661479E-5,    -2.011359E-4
8.966250E+6,    -2.259016E-5,    -2.065673E-4
8.972500E+6,    -3.090501E-5,    -2.050027E-4
8.978750E+6,    -2.561510E-5,    -1.995787E-4
8.985000E+6,    -1.746416E-5,    -1.758188E-4
8.991250E+6,    -1.677871E-5,    -2.081618E-4
8.997500E+6,    -4.035234E-5,    -2.029091E-4
9.003750E+6,    -3.911555E-6,    -2.043471E-4
9.010000E+6,    -1.138449E-5,    -2.059788E-4
9.016250E+6,    -1.195818E-5,    -2.060011E-4
9.022500E+6,    9.454787E-6,    -2.075508E-4
9.028750E+6,    -2.983212E-5,    -2.249181E-4
9.035000E+6,    -3.293157E-5,    -1.855940E-4
9.041250E+6,    -2.652407E-5,    -2.127439E-4
9.047500E+6,    -2.816319E-5,    -2.090782E-4
9.053750E+6,    -2.590567E-5,    -1.904592E-4
9.060000E+6,    -3.470480E-5,    -2.139062E-4
9.066250E+6,    -1.859665E-5,    -2.244264E-4
9.072500E+6,    -2.130866E-5,    -2.141744E-4
9.078750E+6,    -2.883375E-5,    -2.126694E-4
