SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:29 PM

STIMULUS, RESPONSE

8.560000E+6,  1.588836E-4
8.566250E+6,  1.671985E-4
8.572500E+6,  1.647472E-4
8.578750E+6,  1.549125E-4
8.585000E+6,  1.614913E-4
8.591250E+6,  1.670569E-4
8.597500E+6,  1.618564E-4
8.603750E+6,  1.705065E-4
8.610000E+6,  1.718327E-4
8.616250E+6,  1.601204E-4
8.622500E+6,  1.599714E-4
8.628750E+6,  1.862347E-4
8.635000E+6,  1.506060E-4
8.641250E+6,  1.842827E-4
8.647500E+6,  1.787096E-4
8.653750E+6,  1.694337E-4
8.660000E+6,  1.682341E-4
8.666250E+6,  1.706406E-4
8.672500E+6,  1.809001E-4
8.678750E+6,  1.583472E-4
8.685000E+6,  1.826361E-4
8.691250E+6,  1.661479E-4
8.697500E+6,  1.438111E-4
8.703750E+6,  1.788065E-4
8.710000E+6,  1.720190E-4
8.716250E+6,  1.903847E-4
8.722500E+6,  1.720637E-4
8.728750E+6,  1.730323E-4
8.735000E+6,  1.731738E-4
8.741250E+6,  1.649186E-4
8.747500E+6,  1.696572E-4
8.753750E+6,  1.904890E-4
8.760000E+6,  1.632124E-4
8.766250E+6,  1.856461E-4
8.772500E+6,  1.731366E-4
8.778750E+6,  1.731291E-4
8.785000E+6,  1.521856E-4
8.791250E+6,  1.697689E-4
8.797500E+6,  1.868978E-4
8.803750E+6,  1.925603E-4
8.810000E+6,  1.764670E-4
8.816250E+6,  1.863539E-4
8.822500E+6,  1.722202E-4
8.828750E+6,  2.054721E-4
8.835000E+6,  1.740977E-4
8.841250E+6,  1.932234E-4
8.847500E+6,  1.845434E-4
8.853750E+6,  1.766980E-4
8.860000E+6,  1.689121E-4
8.866250E+6,  1.967251E-4
8.872500E+6,  1.774728E-4
8.878750E+6,  1.798198E-4
8.885000E+6,  1.873001E-4
8.891250E+6,  1.800284E-4
8.897500E+6,  1.694337E-4
8.903750E+6,  1.800209E-4
8.910000E+6,  1.720190E-4
8.916250E+6,  1.925975E-4
8.922500E+6,  1.819357E-4
8.928750E+6,  2.034456E-4
8.935000E+6,  1.881421E-4
8.941250E+6,  1.907051E-4
8.947500E+6,  1.721308E-4
8.953750E+6,  2.076775E-4
8.960000E+6,  1.975521E-4
8.966250E+6,  1.957342E-4
8.972500E+6,  1.767129E-4
8.978750E+6,  2.009794E-4
