SAVED BY: 
TITLE: 
COMMENTS: 
DATE: 10/27/2020
TIME: 3:34 PM

STIMULUS, RESPONSE

8.560000E+6,  1.660883E-4
8.566250E+6,  1.760647E-4
8.572500E+6,  1.892075E-4
8.578750E+6,  1.769438E-4
8.585000E+6,  1.795664E-4
8.591250E+6,  1.759529E-4
8.597500E+6,  1.713261E-4
8.603750E+6,  1.642928E-4
8.610000E+6,  1.833737E-4
8.616250E+6,  1.604855E-4
8.622500E+6,  1.537576E-4
8.628750E+6,  1.738444E-4
8.635000E+6,  1.691952E-4
8.641250E+6,  1.982898E-4
8.647500E+6,  1.856759E-4
8.653750E+6,  1.923889E-4
8.660000E+6,  1.686662E-4
8.666250E+6,  1.557618E-4
8.672500E+6,  1.821071E-4
8.678750E+6,  1.977757E-4
8.685000E+6,  1.820624E-4
8.691250E+6,  1.822785E-4
8.697500E+6,  1.827031E-4
8.703750E+6,  2.004653E-4
8.710000E+6,  1.752302E-4
8.716250E+6,  1.828521E-4
8.722500E+6,  1.444295E-4
8.728750E+6,  1.917109E-4
8.735000E+6,  1.820177E-4
8.741250E+6,  1.908839E-4
8.747500E+6,  1.886934E-4
8.753750E+6,  1.886636E-4
8.760000E+6,  1.670048E-4
8.766250E+6,  1.953989E-4
8.772500E+6,  1.838952E-4
8.778750E+6,  1.948103E-4
8.785000E+6,  2.004132E-4
8.791250E+6,  1.859963E-4
8.797500E+6,  1.821443E-4
8.803750E+6,  1.883060E-4
8.810000E+6,  1.897141E-4
8.816250E+6,  1.946092E-4
8.822500E+6,  1.771599E-4
8.828750E+6,  2.016723E-4
8.835000E+6,  2.005696E-4
8.841250E+6,  2.131760E-4
8.847500E+6,  1.851097E-4
8.853750E+6,  1.923144E-4
8.860000E+6,  1.907349E-4
8.866250E+6,  1.992583E-4
8.872500E+6,  1.857057E-4
8.878750E+6,  1.984462E-4
8.885000E+6,  1.857653E-4
8.891250E+6,  1.896545E-4
8.897500E+6,  1.913235E-4
8.903750E+6,  1.867637E-4
8.910000E+6,  1.733229E-4
8.916250E+6,  2.195537E-4
8.922500E+6,  2.102032E-4
8.928750E+6,  1.978874E-4
8.935000E+6,  2.171397E-4
8.941250E+6,  1.986995E-4
8.947500E+6,  2.112314E-4
8.953750E+6,  1.945645E-4
8.960000E+6,  2.009347E-4
8.966250E+6,  1.883879E-4
8.972500E+6,  2.188832E-4
8.978750E+6,  2.136081E-4
8.985000E+6,  1.819581E-4
8.991250E+6,  2.248883E-4
8.997500E+6,  1.917109E-4
9.003750E+6,  2.110824E-4
9.010000E+6,  1.952574E-4
9.016250E+6,  1.948774E-4
9.022500E+6,  2.039224E-4
9.028750E+6,  2.016574E-4
9.035000E+6,  1.788735E-4
9.041250E+6,  2.011880E-4
9.047500E+6,  2.165958E-4
9.053750E+6,  2.107099E-4
9.060000E+6,  1.817569E-4
9.066250E+6,  1.945943E-4
9.072500E+6,  2.147630E-4
9.078750E+6,  2.103895E-4
9.085000E+6,  2.105832E-4
9.091250E+6,  2.324209E-4
9.097500E+6,  2.136678E-4
9.103750E+6,  2.141744E-4
9.110000E+6,  2.145395E-4
9.116250E+6,  2.235249E-4
9.122500E+6,  2.168715E-4
9.128750E+6,  2.133995E-4
9.135000E+6,  2.324879E-4
9.141250E+6,  2.264604E-4
9.147500E+6,  2.104938E-4
9.153750E+6,  2.104416E-4
9.160000E+6,  2.108365E-4
9.166250E+6,  2.259389E-4
9.172500E+6,  2.074018E-4
9.178750E+6,  2.233386E-4
9.185000E+6,  2.324507E-4
9.191250E+6,  2.266243E-4
9.197500E+6,  2.049953E-4
9.203750E+6,  2.233908E-4
9.210000E+6,  2.169013E-4
9.216250E+6,  2.294481E-4
9.222500E+6,  2.136230E-4
9.228750E+6,  2.230480E-4
9.235000E+6,  2.043322E-4
9.241250E+6,  2.395883E-4
9.247500E+6,  2.114698E-4
9.253750E+6,  2.263486E-4
9.260000E+6,  2.108365E-4
9.266250E+6,  2.327114E-4
9.272500E+6,  2.265573E-4
9.278750E+6,  2.399608E-4
9.285000E+6,  2.264678E-4
9.291250E+6,  2.296865E-4
9.297500E+6,  2.234578E-4
9.303750E+6,  2.237484E-4
9.310000E+6,  2.297983E-4
9.316250E+6,  2.398640E-4
9.322500E+6,  2.299398E-4
9.328750E+6,  2.298653E-4
9.335000E+6,  2.269670E-4
9.341250E+6,  2.266318E-4
9.347500E+6,  2.393872E-4
9.353750E+6,  2.266541E-4
9.360000E+6,  2.211258E-4
9.366250E+6,  2.585351E-4
9.372500E+6,  2.151653E-4
9.378750E+6,  2.373755E-4
9.385000E+6,  2.394542E-4
9.391250E+6,  2.235919E-4
9.397500E+6,  2.396554E-4
9.403750E+6,  2.458692E-4
9.410000E+6,  2.269968E-4
9.416250E+6,  2.363548E-4
9.422500E+6,  2.552569E-4
9.428750E+6,  2.491623E-4
9.435000E+6,  2.328828E-4
9.441250E+6,  2.553314E-4
9.447500E+6,  2.488196E-4
9.453750E+6,  2.408400E-4
9.460000E+6,  2.458543E-4
9.466250E+6,  2.399683E-4
9.472500E+6,  2.522618E-4
9.478750E+6,  2.646297E-4
9.485000E+6,  2.540499E-4
9.491250E+6,  2.521724E-4
9.497500E+6,  2.467185E-4
9.503750E+6,  2.505779E-4
9.510000E+6,  2.522022E-4
9.516250E+6,  2.649873E-4
9.522500E+6,  2.555698E-4
9.528750E+6,  2.590865E-4
9.535000E+6,  2.463758E-4
9.541250E+6,  2.634674E-4
9.547500E+6,  2.430081E-4
9.553750E+6,  2.653450E-4
9.560000E+6,  2.714396E-4
9.566250E+6,  2.693385E-4
9.572500E+6,  2.645105E-4
9.578750E+6,  2.525598E-4
9.585000E+6,  2.659857E-4
9.591250E+6,  2.715141E-4
9.597500E+6,  2.528280E-4
9.603750E+6,  2.588332E-4
9.610000E+6,  2.651960E-4
9.616250E+6,  2.612025E-4
9.622500E+6,  2.718568E-4
9.628750E+6,  2.762079E-4
9.635000E+6,  2.561212E-4
9.641250E+6,  2.711862E-4
9.647500E+6,  2.665073E-4
9.653750E+6,  2.600402E-4
9.660000E+6,  2.686083E-4
9.666250E+6,  2.623647E-4
9.672500E+6,  2.635121E-4
9.678750E+6,  2.658516E-4
9.685000E+6,  2.593100E-4
9.691250E+6,  2.860427E-4
9.697500E+6,  2.604872E-4
9.703750E+6,  2.825707E-4
9.710000E+6,  2.758652E-4
9.716250E+6,  2.876520E-4
9.722500E+6,  2.851933E-4
9.728750E+6,  2.777576E-4
9.735000E+6,  2.695471E-4
9.741250E+6,  2.728999E-4
9.747500E+6,  2.763867E-4
9.753750E+6,  2.871603E-4
9.760000E+6,  2.724379E-4
9.766250E+6,  2.794415E-4
9.772500E+6,  2.815872E-4
9.778750E+6,  2.946109E-4
9.785000E+6,  2.761632E-4
9.791250E+6,  2.847463E-4
9.797500E+6,  2.681166E-4
9.803750E+6,  2.796203E-4
9.810000E+6,  2.705753E-4
9.816250E+6,  2.872795E-4
9.822500E+6,  2.865195E-4
9.828750E+6,  3.040880E-4
9.835000E+6,  2.815574E-4
9.841250E+6,  2.821535E-4
9.847500E+6,  2.708733E-4
9.853750E+6,  2.989471E-4
9.860000E+6,  2.873689E-4
9.866250E+6,  3.014207E-4
9.872500E+6,  2.832413E-4
9.878750E+6,  2.898425E-4
9.885000E+6,  3.146082E-4
9.891250E+6,  3.116876E-4
9.897500E+6,  2.832711E-4
9.903750E+6,  3.232360E-4
9.910000E+6,  2.806783E-4
9.916250E+6,  3.076941E-4
9.922500E+6,  3.066063E-4
9.928750E+6,  3.291219E-4
9.935000E+6,  3.028214E-4
9.941250E+6,  3.169775E-4
9.947500E+6,  3.068149E-4
9.953750E+6,  3.116876E-4
